km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,age
145500,Diesel,Individual,Manual,First Owner,23,1248,74,5,8
120000,Diesel,Individual,Manual,Second Owner,21,1498,103,5,8
140000,Petrol,Individual,Manual,Third Owner,17,1497,78,5,16
127000,Diesel,Individual,Manual,First Owner,23,1396,90,5,12
120000,Petrol,Individual,Manual,First Owner,16,1298,88,5,15
45000,Petrol,Individual,Manual,First Owner,20,1197,81,5,5
175000,LPG,Individual,Manual,First Owner,17,1061,57,5,15
5000,Petrol,Individual,Manual,Second Owner,16,796,37,4,21
90000,Diesel,Individual,Manual,First Owner,23,1364,67,5,11
169000,Diesel,Individual,Manual,First Owner,20,1399,68,5,9
68000,Diesel,Individual,Manual,Second Owner,19,1461,108,5,8
100000,Petrol,Individual,Manual,Second Owner,17,993,60,5,17
140000,Diesel,Individual,Manual,Second Owner,19,1248,73,5,13
90000,Petrol,Individual,Manual,Second Owner,18,1061,67,5,13
40000,Petrol,Individual,Manual,First Owner,18,1198,82,5,6
70000,Diesel,Individual,Manual,Second Owner,24,1248,88,7,6
53000,Diesel,Individual,Manual,Second Owner,23,1396,90,5,10
80000,Petrol,Individual,Manual,Second Owner,19,796,46,5,20
100000,Diesel,Individual,Manual,First Owner,22,1396,88,5,6
100000,Diesel,Individual,Manual,Second Owner,21,1461,64,5,11
50000,Diesel,Individual,Manual,First Owner,25,1498,98,5,5
40000,Diesel,Individual,Manual,First Owner,26,1248,74,5,7
72000,Diesel,Individual,Manual,First Owner,21,1248,88,5,10
35000,Petrol,Individual,Manual,First Owner,20,1199,83,5,4
45000,Petrol,Individual,Manual,First Owner,21,1197,83,5,6
28000,Petrol,Individual,Manual,First Owner,24,796,47,5,5
70000,Diesel,Individual,Manual,First Owner,18,1248,73,7,9
120000,Petrol,Individual,Manual,First Owner,18,1061,67,5,13
25000,Petrol,Individual,Manual,First Owner,16,796,34,8,4
70000,Diesel,Individual,Manual,First Owner,24,1248,88,5,5
35000,Petrol,Individual,Manual,Second Owner,14,796,35,5,10
2388,Petrol,Individual,Manual,First Owner,18,1197,81,5,4
16200,Diesel,Individual,Manual,First Owner,24,1248,88,5,5
10000,CNG,Individual,Manual,Second Owner,33,796,40,4,3
15000,Petrol,Individual,Manual,First Owner,23,998,67,5,3
5000,Petrol,Individual,Manual,First Owner,17,1591,121,5,3
42000,Petrol,Individual,Manual,First Owner,20,1198,67,5,6
60000,Diesel,Individual,Manual,Second Owner,13,2179,138,7,11
76000,Petrol,Individual,Manual,First Owner,16,796,37,4,10
5000,Petrol,Individual,Automatic,First Owner,16,1368,160,5,3
28900,Petrol,Dealer,Manual,First Owner,17,1497,117,5,4
86300,Petrol,Dealer,Manual,First Owner,16,1497,116,5,9
23300,Petrol,Dealer,Automatic,First Owner,18,1197,83,5,4
32600,Diesel,Dealer,Manual,First Owner,24,1248,88,5,4
10300,Petrol,Dealer,Manual,First Owner,23,998,67,5,4
77000,Diesel,Dealer,Manual,First Owner,12,2982,168,7,8
99000,Diesel,Dealer,Manual,First Owner,12,2494,100,7,9
27800,Diesel,Dealer,Automatic,Second Owner,14,2143,120,5,8
49800,Diesel,Dealer,Manual,First Owner,24,1498,98,5,7
151000,Diesel,Dealer,Manual,First Owner,13,2477,175,7,9
54700,Diesel,Dealer,Manual,First Owner,26,1498,98,5,7
64000,Petrol,Dealer,Manual,First Owner,20,1462,103,5,4
63000,Diesel,Dealer,Manual,First Owner,27,1498,98,5,7
127700,Diesel,Dealer,Automatic,Second Owner,11,2755,171,7,6
99000,Diesel,Dealer,Manual,First Owner,12,2494,100,7,6
33900,Diesel,Dealer,Automatic,Second Owner,17,1968,174,5,9
25000,Petrol,Dealer,Automatic,First Owner,14,1798,138,5,4
50000,Diesel,Dealer,Automatic,First Owner,18,1968,187,5,9
59000,Diesel,Dealer,Automatic,First Owner,14,2143,170,5,9
120000,Diesel,Individual,Manual,First Owner,21,1248,88,5,11
110000,Petrol,Individual,Manual,Third Owner,20,1197,78,5,11
60000,Diesel,Individual,Manual,First Owner,21,1396,88,5,9
147000,Diesel,Individual,Manual,Second Owner,26,1248,74,5,7
25000,Petrol,Individual,Manual,Third Owner,18,1196,86,5,5
30000,Petrol,Individual,Manual,First Owner,21,1197,83,5,3
40000,Diesel,Individual,Manual,First Owner,22,1498,108,5,6
135000,Diesel,Individual,Manual,First Owner,25,1498,98,5,7
30000,Petrol,Individual,Automatic,First Owner,20,998,67,5,4
80000,Diesel,Individual,Manual,First Owner,21,1498,108,5,5
70000,Diesel,Individual,Manual,First Owner,24,1248,88,5,6
9850,Diesel,Individual,Automatic,First Owner,24,1248,88,5,3
60000,Petrol,Individual,Manual,Second Owner,20,1197,78,5,11
70000,Diesel,Individual,Manual,First Owner,25,1248,74,5,6
78000,Diesel,Individual,Manual,Second Owner,12,2982,168,7,7
120000,Diesel,Individual,Manual,Second Owner,22,1248,74,5,9
120000,Petrol,Individual,Manual,Second Owner,16,1373,93,7,10
170000,Diesel,Individual,Manual,First Owner,20,1598,103,5,9
140000,Diesel,Individual,Manual,First Owner,12,2494,100,8,6
90000,Diesel,Individual,Manual,First Owner,22,1498,98,5,7
30000,Petrol,Individual,Automatic,Second Owner,15,1998,189,5,6
10000,Petrol,Dealer,Manual,First Owner,23,998,67,5,5
49000,Petrol,Dealer,Manual,First Owner,19,1198,67,5,6
32000,Petrol,Dealer,Manual,First Owner,24,796,47,5,6
38000,Petrol,Dealer,Manual,First Owner,24,796,47,5,6
28000,Petrol,Dealer,Manual,First Owner,19,1086,68,5,10
32000,Petrol,Dealer,Manual,First Owner,14,796,35,5,5
44000,LPG,Dealer,Manual,First Owner,26,998,58,5,12
42000,Petrol,Dealer,Manual,First Owner,16,1198,74,5,7
45000,Petrol,Dealer,Manual,Second Owner,19,1086,68,5,7
12000,Petrol,Dealer,Manual,Second Owner,15,1598,103,5,10
55500,Petrol,Dealer,Manual,First Owner,18,998,67,5,13
61500,Petrol,Dealer,Manual,First Owner,18,1197,82,5,9
150000,Diesel,Individual,Manual,First Owner,26,1248,74,5,6
72000,Petrol,Dealer,Automatic,First Owner,19,1197,82,5,6
68000,Petrol,Dealer,Manual,Third Owner,19,796,46,5,14
110000,Diesel,Individual,Manual,First Owner,22,1396,88,5,5
77000,Petrol,Dealer,Manual,Second Owner,21,998,67,5,13
100000,Diesel,Individual,Manual,Second Owner,18,1248,90,5,12
10000,Petrol,Individual,Manual,First Owner,21,1197,81,5,3
100000,Petrol,Individual,Manual,Third Owner,15,1196,73,7,6
35000,Petrol,Individual,Manual,First Owner,21,1197,83,5,4
70000,Diesel,Individual,Automatic,Second Owner,11,2179,120,8,8
5000,Petrol,Individual,Manual,Second Owner,19,1194,94,5,2
37800,Petrol,Individual,Manual,First Owner,17,1591,121,5,5
114000,Petrol,Individual,Manual,First Owner,14,1798,160,5,12
48000,Petrol,Individual,Manual,First Owner,15,1172,65,5,12
32000,Diesel,Individual,Manual,First Owner,15,2179,155,7,3
100000,Diesel,Individual,Manual,First Owner,19,1405,69,5,6
150000,Diesel,Individual,Manual,Second Owner,22,1582,126,5,9
69000,Diesel,Individual,Manual,First Owner,21,1396,88,5,9
100000,Petrol,Individual,Manual,Second Owner,14,1798,138,5,13
13000,Petrol,Individual,Manual,First Owner,21,998,67,5,2
60000,Diesel,Individual,Manual,First Owner,24,1248,88,5,6
40000,Petrol,Individual,Manual,First Owner,20,1197,83,5,5
35000,Petrol,Individual,Manual,First Owner,20,998,67,5,5
70000,Diesel,Individual,Manual,Third Owner,20,1461,83,5,8
50000,Diesel,Individual,Manual,First Owner,19,1582,126,5,6
76139,Diesel,Individual,Manual,First Owner,23,1498,98,5,5
175000,Diesel,Individual,Manual,Fourth & Above Owner,19,1248,73,5,10
25000,Petrol,Individual,Manual,First Owner,23,999,67,5,4
40000,Petrol,Individual,Manual,Second Owner,23,998,67,5,7
65000,Petrol,Individual,Manual,Fourth & Above Owner,19,796,46,5,14
90000,Diesel,Individual,Manual,Second Owner,20,1248,88,7,9
80000,Petrol,Individual,Manual,Second Owner,17,1086,62,5,13
110000,Diesel,Individual,Manual,Second Owner,20,1248,88,7,7
1303,Petrol,Dealer,Manual,First Owner,17,1198,86,5,3
31800,Diesel,Dealer,Automatic,First Owner,17,1968,188,5,4
